CountryCode,ServicesType,PercentOfExportedServices
CHL,Textiles and clothing (% of value added in manufacturing),2.20067518
CHN,Transport services (% of commercial service exports),17.53560392
CHN,Travel services (% of commercial service exports),20.1955135
CHN,Insurance and financial services (% of commercial service exports),4.174978103
CHN,"Computer, communications and other services (% of commercial service exports)",58.09390448
CHN,Chemicals (% of value added in manufacturing),10.81138283
CHN,"Food, beverages and tobacco (% of value added in manufacturing)",11.82508276
CHN,Machinery and transport equipment (% of value added in manufacturing),24.52693529
CHN,Other manufacturing (% of value added in manufacturing),42.84468278
CHN,Textiles and clothing (% of value added in manufacturing),9.991916343
COL,Transport services (% of commercial service exports),24.99255437
COL,Travel services (% of commercial service exports),54.11813763
COL,Insurance and financial services (% of commercial service exports),1.197202779
COL,"Computer, communications and other services (% of commercial service exports)",19.69210523
COL,Chemicals (% of value added in manufacturing),14.26273387
COL,"Food, beverages and tobacco (% of value added in manufacturing)",31.77134989
COL,Machinery and transport equipment (% of value added in manufacturing),4.566853784
COL,Other manufacturing (% of value added in manufacturing),42.52170711
COL,Textiles and clothing (% of value added in manufacturing),6.877355354
COM,Transport services (% of commercial service exports),7.317236547
COM,Travel services (% of commercial service exports),68.46331431
COM,Insurance and financial services (% of commercial service exports),0.151029207
COM,"Computer, communications and other services (% of commercial service exports)",24.06841994
COD,Transport services (% of commercial service exports),56.3755572
COD,Travel services (% of commercial service exports),19.4273082
COD,Insurance and financial services (% of commercial service exports),3.124113701
COD,"Computer, communications and other services (% of commercial service exports)",21.07302089
COG,Transport services (% of commercial service exports),30.29722488
COG,Travel services (% of commercial service exports),8.823078254
COG,Insurance and financial services (% of commercial service exports),2.639351699
COG,"Computer, communications and other services (% of commercial service exports)",58.24034517
CRI,Transport services (% of commercial service exports),6.168343184
CRI,Travel services (% of commercial service exports),42.35536374
CRI,Insurance and financial services (% of commercial service exports),1.242894237
CRI,"Computer, communications and other services (% of commercial service exports)",50.23339884
CRI,Chemicals (% of value added in manufacturing),7.703262408
CRI,"Food, beverages and tobacco (% of value added in manufacturing)",39.24445892
CRI,Machinery and transport equipment (% of value added in manufacturing),9.274417943
CRI,Other manufacturing (% of value added in manufacturing),40.12364541
CRI,Textiles and clothing (% of value added in manufacturing),3.654215326
CIV,Transport services (% of commercial service exports),18.62974442
CIV,Travel services (% of commercial service exports),24.32475295
CIV,Insurance and financial services (% of commercial service exports),1.253557221
CIV,"Computer, communications and other services (% of commercial service exports)",55.7919454
HRV,Transport services (% of commercial service exports),10.63909148
HRV,Travel services (% of commercial service exports),69.90490632
HRV,Insurance and financial services (% of commercial service exports),0.866418632
HRV,"Computer, communications and other services (% of commercial service exports)",18.58958357
HRV,Chemicals (% of value added in manufacturing),8.393490875
HRV,"Food, beverages and tobacco (% of value added in manufacturing)",25.44969595
HRV,Machinery and transport equipment (% of value added in manufacturing),15.84078311
HRV,Other manufacturing (% of value added in manufacturing),43.15927845
HRV,Textiles and clothing (% of value added in manufacturing),7.15675161
CUW,Transport services (% of commercial service exports),14.97783169
CUW,Travel services (% of commercial service exports),38.9302332
CUW,Insurance and financial services (% of commercial service exports),0.326528654
CUW,"Computer, communications and other services (% of commercial service exports)",45.76540646
CYP,Transport services (% of commercial service exports),27.5524245
CYP,Travel services (% of commercial service exports),25.40288814
CYP,Insurance and financial services (% of commercial service exports),31.94219031
CYP,"Computer, communications and other services (% of commercial service exports)",15.10249705
CYP,Chemicals (% of value added in manufacturing),11.82976632
CYP,"Food, beverages and tobacco (% of value added in manufacturing)",40.61282897
CYP,Machinery and transport equipment (% of value added in manufacturing),10.87853551
CYP,Other manufacturing (% of value added in manufacturing),35.32221319
CYP,Textiles and clothing (% of value added in manufacturing),1.356656016
CZE,Transport services (% of commercial service exports),22.57636264
CZE,Travel services (% of commercial service exports),27.23636607
CZE,Insurance and financial services (% of commercial service exports),3.124382068
CZE,"Computer, communications and other services (% of commercial service exports)",47.06288922
DNK,Transport services (% of commercial service exports),60.88382531
DNK,Travel services (% of commercial service exports),10.44283884
DNK,Insurance and financial services (% of commercial service exports),1.569885978
DNK,"Computer, communications and other services (% of commercial service exports)",27.10344987
DNK,Chemicals (% of value added in manufacturing),25.19708474
DNK,"Food, beverages and tobacco (% of value added in manufacturing)",14.79694153
DNK,Machinery and transport equipment (% of value added in manufacturing),25.16587457
DNK,Other manufacturing (% of value added in manufacturing),33.97288901
DNK,Textiles and clothing (% of value added in manufacturing),0.867210144
DJI,Transport services (% of commercial service exports),82.47395882
DJI,Travel services (% of commercial service exports),4.078392781
DJI,"Computer, communications and other services (% of commercial service exports)",13.4476484
DMA,Transport services (% of commercial service exports),0.410637731
DMA,Travel services (% of commercial service exports),92.45503112
DMA,Insurance and financial services (% of commercial service exports),1.838949043
DMA,"Computer, communications and other services (% of commercial service exports)",5.295382108
DOM,Transport services (% of commercial service exports),7.36291963
DOM,Travel services (% of commercial service exports),83.58895933
DOM,Insurance and financial services (% of commercial service exports),1.784680257
DOM,"Computer, communications and other services (% of commercial service exports)",7.26344078
ECU,Transport services (% of commercial service exports),19.59146911
ECU,Travel services (% of commercial service exports),66.43945179
ECU,Insurance and financial services (% of commercial service exports),4.293426917
ECU,"Computer, communications and other services (% of commercial service exports)",9.675652191
ECU,Chemicals (% of value added in manufacturing),6.166818953
ECU,"Food, beverages and tobacco (% of value added in manufacturing)",27.29116434
ECU,Machinery and transport equipment (% of value added in manufacturing),2.575851066
ECU,Other manufacturing (% of value added in manufacturing),60.11338779
ECU,Textiles and clothing (% of value added in manufacturing),3.85277785
EGY,Transport services (% of commercial service exports),48.29553587
EGY,Travel services (% of commercial service exports),35.57239099
EGY,Insurance and financial services (% of commercial service exports),1.26496064
EGY,"Computer, communications and other services (% of commercial service exports)",14.8671125
EGY,Chemicals (% of value added in manufacturing),8.065692654
EGY,"Food, beverages and tobacco (% of value added in manufacturing)",13.11985301
EGY,Machinery and transport equipment (% of value added in manufacturing),3.370605823
EGY,Other manufacturing (% of value added in manufacturing),71.03356687
EGY,Textiles and clothing (% of value added in manufacturing),4.410281638
SLV,Transport services (% of commercial service exports),24.48868934
SLV,Travel services (% of commercial service exports),36.27918023
SLV,Insurance and financial services (% of commercial service exports),3.692111571
SLV,"Computer, communications and other services (% of commercial service exports)",35.54001886
ERI,Chemicals (% of value added in manufacturing),6.743962496
ERI,"Food, beverages and tobacco (% of value added in manufacturing)",54.39747716
ERI,Machinery and transport equipment (% of value added in manufacturing),0.838742496
ERI,Other manufacturing (% of value added in manufacturing),19.88398239
ERI,Textiles and clothing (% of value added in manufacturing),18.13583546
EST,Transport services (% of commercial service exports),33.21460844
EST,Travel services (% of commercial service exports),26.27886374
EST,Insurance and financial services (% of commercial service exports),1.912640247
EST,"Computer, communications and other services (% of commercial service exports)",38.59388757
EST,Chemicals (% of value added in manufacturing),4.594714306
EST,"Food, beverages and tobacco (% of value added in manufacturing)",14.53486973
EST,Machinery and transport equipment (% of value added in manufacturing),18.51741418
EST,Other manufacturing (% of value added in manufacturing),56.51631325
EST,Textiles and clothing (% of value added in manufacturing),5.83668853
SWZ,Transport services (% of commercial service exports),1.358701583
SWZ,Travel services (% of commercial service exports),18.7714007
SWZ,Insurance and financial services (% of commercial service exports),17.64625241
SWZ,"Computer, communications and other services (% of commercial service exports)",62.22364531
ETH,Transport services (% of commercial service exports),80.48007415
ETH,Travel services (% of commercial service exports),12.93636347
ETH,Insurance and financial services (% of commercial service exports),0.000533438
ETH,"Computer, communications and other services (% of commercial service exports)",6.583028946
ETH,Chemicals (% of value added in manufacturing),10.62155567
ETH,"Food, beverages and tobacco (% of value added in manufacturing)",36.61846267
ETH,Machinery and transport equipment (% of value added in manufacturing),5.452037269
ETH,Other manufacturing (% of value added in manufacturing),37.28293805
ETH,Textiles and clothing (% of value added in manufacturing),10.02500634
FJI,Transport services (% of commercial service exports),27.79259528
FJI,Travel services (% of commercial service exports),66.48560432
FJI,Insurance and financial services (% of commercial service exports),0.506510269
FJI,"Computer, communications and other services (% of commercial service exports)",5.215290136
FJI,Chemicals (% of value added in manufacturing),5.375995012
FJI,"Food, beverages and tobacco (% of value added in manufacturing)",50.53842398
FJI,Machinery and transport equipment (% of value added in manufacturing),1.753952028
FJI,Other manufacturing (% of value added in manufacturing),30.38440084
FJI,Textiles and clothing (% of value added in manufacturing),11.94722814
FIN,Transport services (% of commercial service exports),12.60600396
FIN,Travel services (% of commercial service exports),14.06610155
FIN,Insurance and financial services (% of commercial service exports),2.004368144
FIN,"Computer, communications and other services (% of commercial service exports)",71.32352635
FIN,Chemicals (% of value added in manufacturing),10.98302806
FIN,"Food, beverages and tobacco (% of value added in manufacturing)",10.19353358
FIN,Machinery and transport equipment (% of value added in manufacturing),28.38684069
FIN,Other manufacturing (% of value added in manufacturing),48.80600606
FIN,Textiles and clothing (% of value added in manufacturing),1.630591603
FRA,Transport services (% of commercial service exports),17.64149529
FRA,Travel services (% of commercial service exports),21.50077364
FRA,Insurance and financial services (% of commercial service exports),7.010611982
FRA,"Computer, communications and other services (% of commercial service exports)",53.84711909
FRA,Chemicals (% of value added in manufacturing),12.43134432
FRA,"Food, beverages and tobacco (% of value added in manufacturing)",18.26280117
FRA,Machinery and transport equipment (% of value added in manufacturing),33.28025558
FRA,Other manufacturing (% of value added in manufacturing),33.04027555
FRA,Textiles and clothing (% of value added in manufacturing),2.985323378
PYF,Transport services (% of commercial service exports),37.28936916
PYF,Travel services (% of commercial service exports),54.45444806
PYF,Insurance and financial services (% of commercial service exports),2.489965648
PYF,"Computer, communications and other services (% of commercial service exports)",5.766217136
GAB,Transport services (% of commercial service exports),2.561551146
GAB,Travel services (% of commercial service exports),30.55523967
GAB,Insurance and financial services (% of commercial service exports),1.876385967
GAB,"Computer, communications and other services (% of commercial service exports)",65.00682322
GMB,Transport services (% of commercial service exports),23.29171928
GMB,Travel services (% of commercial service exports),72.70423003
GMB,Insurance and financial services (% of commercial service exports),1.178395093
GMB,"Computer, communications and other services (% of commercial service exports)",2.825655604
GEO,Transport services (% of commercial service exports),32.8887263
GEO,Travel services (% of commercial service exports),60.5011773
GEO,Insurance and financial services (% of commercial service exports),0.919922259
GEO,"Computer, communications and other services (% of commercial service exports)",5.690174136
GEO,Chemicals (% of value added in manufacturing),10.75348044
GEO,"Food, beverages and tobacco (% of value added in manufacturing)",50.11061884
GEO,Machinery and transport equipment (% of value added in manufacturing),3.560315865
GEO,Other manufacturing (% of value added in manufacturing),33.09452002
GEO,Textiles and clothing (% of value added in manufacturing),2.481064843
DEU,Transport services (% of commercial service exports),20.747599
DEU,Travel services (% of commercial service exports),14.52339807
DEU,Insurance and financial services (% of commercial service exports),12.47168992
DEU,"Computer, communications and other services (% of commercial service exports)",52.25731301
DEU,Chemicals (% of value added in manufacturing),10.38073862
DEU,"Food, beverages and tobacco (% of value added in manufacturing)",7.314861026
DEU,Machinery and transport equipment (% of value added in manufacturing),43.38494654
DEU,Other manufacturing (% of value added in manufacturing),37.53470891
DEU,Textiles and clothing (% of value added in manufacturing),1.384744907
GHA,Transport services (% of commercial service exports),31.15255878
GHA,Travel services (% of commercial service exports),45.35247448
GHA,Insurance and financial services (% of commercial service exports),1.764062737
GHA,"Computer, communications and other services (% of commercial service exports)",21.730904
GHA,Chemicals (% of value added in manufacturing),6.319854015
GHA,"Food, beverages and tobacco (% of value added in manufacturing)",34.5831811
GHA,Machinery and transport equipment (% of value added in manufacturing),0.794739209
GHA,Other manufacturing (% of value added in manufacturing),51.90827796
GHA,Textiles and clothing (% of value added in manufacturing),6.393947718
GRC,Transport services (% of commercial service exports),42.48405395
GRC,Travel services (% of commercial service exports),43.4331275
GRC,Insurance and financial services (% of commercial service exports),1.84257709
GRC,"Computer, communications and other services (% of commercial service exports)",12.24024145
GRC,Chemicals (% of value added in manufacturing),11.47319301
GRC,"Food, beverages and tobacco (% of value added in manufacturing)",34.08720428
GRC,Machinery and transport equipment (% of value added in manufacturing),9.280745103
GRC,Other manufacturing (% of value added in manufacturing),40.55822582
GRC,Textiles and clothing (% of value added in manufacturing),4.600631784
GRD,Transport services (% of commercial service exports),3.583591198
GRD,Travel services (% of commercial service exports),90.33189642
GRD,Insurance and financial services (% of commercial service exports),1.667741891
GRD,"Computer, communications and other services (% of commercial service exports)",4.416770492
GTM,Transport services (% of commercial service exports),13.44993079
GTM,Travel services (% of commercial service exports),38.02051217
GTM,Insurance and financial services (% of commercial service exports),3.074776932
GTM,"Computer, communications and other services (% of commercial service exports)",45.45478011
GIN,Transport services (% of commercial service exports),0.598032197
GIN,Travel services (% of commercial service exports),26.25701684
GIN,Insurance and financial services (% of commercial service exports),25.32892094
GIN,"Computer, communications and other services (% of commercial service exports)",47.81603003
GNB,Travel services (% of commercial service exports),46.09853646
GNB,Insurance and financial services (% of commercial service exports),2.495184653
GNB,"Computer, communications and other services (% of commercial service exports)",51.40627889
GUY,Transport services (% of commercial service exports),14.07576841
GUY,Travel services (% of commercial service exports),43.5338788
GUY,Insurance and financial services (% of commercial service exports),13.80727212
GUY,"Computer, communications and other services (% of commercial service exports)",28.58308067
HTI,Travel services (% of commercial service exports),89.82077051
HTI,Insurance and financial services (% of commercial service exports),1.534247974
HTI,"Computer, communications and other services (% of commercial service exports)",8.644981521
HND,Transport services (% of commercial service exports),4.622269511
HND,Travel services (% of commercial service exports),26.49904314
HND,Insurance and financial services (% of commercial service exports),0.03246011
HND,"Computer, communications and other services (% of commercial service exports)",68.84622724
HKG,Transport services (% of commercial service exports),29.90231817
HKG,Travel services (% of commercial service exports),35.91987303
HKG,Insurance and financial services (% of commercial service exports),17.66895192
HKG,"Computer, communications and other services (% of commercial service exports)",16.50885688
HKG,Chemicals (% of value added in manufacturing),10.12242287
HKG,"Food, beverages and tobacco (% of value added in manufacturing)",30.29457094
HKG,Machinery and transport equipment (% of value added in manufacturing),25.93271104
HKG,Other manufacturing (% of value added in manufacturing),28.22995725
HKG,Textiles and clothing (% of value added in manufacturing),5.420337899
HUN,Transport services (% of commercial service exports),24.50620651
HUN,Travel services (% of commercial service exports),23.66706495
HUN,Insurance and financial services (% of commercial service exports),1.486433857
