CountryCode,Chemicals (% of value added in manufacturing),"Computer, communications and other services (% of commercial service exports)","Food, beverages and tobacco (% of value added in manufacturing)",Insurance and financial services (% of commercial service exports),Machinery and transport equipment (% of value added in manufacturing),Other manufacturing (% of value added in manufacturing),Textiles and clothing (% of value added in manufacturing),Transport services (% of commercial service exports),Travel services (% of commercial service exports)
PSE,,40.23049853,36.64647897,0.02123091,2.715232718,54.223569,6.41471931,2.158381648,57.58988891
PSS,,11.08169468,,0.700993888,,,,24.08409825,64.16753749
PST,,46.99239577,,11.06855121,,,,20.57002735,21.36902567
PYF,,5.766217136,,2.489965648,,,,37.28936916,54.45444806
QAT,66.07258881,6.978494624,0.9166404,6.756989247,0.361329757,31.5787567,1.070684331,50.32258065,35.94193548
ROU,5.017186908,59.11958012,13.51984758,1.986565031,30.33748193,40.31553546,10.80994812,29.24896809,9.644886754
RUS,10.4515255,47.09305151,15.26455433,3.073484097,10.04887733,62.48631123,1.748731601,31.69178239,18.14168201
RWA,,3.991213877,,,,,,19.6350029,76.37378322
SAS,,66.19592148,,5.084884567,,,,15.4837076,13.23548635
SAU,26.57900902,3.762479102,12.11191729,3.234791241,4.602317005,53.0589972,3.647759483,24.12917954,68.87355012
SDN,,9.077358641,,0.205922868,,,,27.29442848,63.42229001
SEN,18.58440751,48.42179018,34.77254834,2.337876454,2.224141073,43.53984,0.879063067,12.90544276,36.3348906
SGP,23.72913721,38.74852853,5.354895097,15.89423182,55.4791586,15.16221678,0.274592307,32.87194153,12.48529812
SLB,,29.43445398,,0.05998645,,,,19.43215847,51.07340109
SLE,,62.83750627,,0.686072619,,,,19.3666684,17.10975271
SLV,,35.54001886,,3.692111571,,,,24.48868934,36.27918023
SRB,7.482652116,52.47454411,25.6946297,1.537910557,14.90195475,44.34042507,7.580338361,23.29409558,22.69344975
SSA,,19.49391239,,5.313789781,,,,25.36688548,49.88723076
SSD,,31.98460446,,65.00504465,,,,0.148723889,2.861626995
SSF,,19.57904395,,5.306654703,,,,25.28415016,49.89141433
SST,,19.78789518,,10.60784156,,,,36.43433102,33.78785105
STP,,19.24867369,,0,,,,0.243513485,80.50781282
SUR,,29.36594795,,3.479202001,,,,18.98504758,48.16980247
SVK,2.398651002,39.09547053,6.600925199,2.604188784,40.191751,47.1961297,3.612543099,29.85139821,28.44894248
SVN,16.80990623,33.17971105,6.84649111,2.363210963,21.14775908,51.70291364,3.492929941,26.85277024,37.60430774
SWE,5.156065736,60.89257732,7.809641916,7.072761311,36.89073057,49.40066847,0.742893317,16.53395278,15.50070858
SWZ,,62.22364531,,17.64625241,,,,1.358701583,18.7714007
SXM,,15.67146566,,0.27518467,,,,2.627812734,81.42553694
