Country Name,Country Code,Year,GDP,Agriculture,Industry,Manufacturing,Services
Slovenia,SVN,2014,"49,930,685,013.46",2.02,28.14,19.62,56.29
Solomon Islands,SLB,2014,"1,172,268,300.95",,,,
Somalia,SOM,2014,,,,,
South Africa,ZAF,2014,"350,904,575,292.32",2.17,26.55,12.05,61.02
South Sudan,SSD,2014,"13,962,212,847.46",7.6,46.7,2.68,45.7
Spain,ESP,2014,"1,369,398,844,599.60",2.54,20.08,11.31,68.45
Sri Lanka,LKA,2014,"79,356,449,840.58",8.01,28.3,16.97,56.9
St. Kitts and Nevis,KNA,2014,"916,574,074.07",1.07,22.21,7.13,67.2
St. Lucia,LCA,2014,"1,755,130,814.81",2.22,10.32,2.9,74.9
St. Martin (French part),MAF,2014,,,,,
St. Vincent and the Grenadines,VCT,2014,"727,714,814.81",6.61,14.76,4.88,64.38
Sudan,SDN,2014,"64,941,775,064.76",30.51,16.93,6.27,45.43
Suriname,SUR,2014,"5,240,606,060.61",9.18,30.09,16.35,52.62
Sweden,SWE,2014,"581,964,017,237.09",1.44,21.79,13.06,65.68
Switzerland,CHE,2014,"709,182,559,935.30",0.72,25.16,18.36,70.82
Syrian Arab Republic,SYR,2014,,,,,
Tajikistan,TJK,2014,"9,112,544,556.06",23.77,22.6,7.62,41.11
Tanzania,TZA,2014,"49,964,788,814.09",25.8,25.14,9.12,41.3
Thailand,THA,2014,"407,339,361,695.58",10.09,36.76,27.57,53.15
Timor-Leste,TLS,2014,"1,447,312,263.56",20.58,16.97,0.77,63.43
Togo,TGO,2014,"4,574,986,536.91",25.68,16.17,7.42,28.05
Tonga,TON,2014,"443,911,052.25",17.05,16.15,6.22,
Trinidad and Tobago,TTO,2014,"27,615,843,098.10",0.74,47.61,16.05,50.23
Tunisia,TUN,2014,"47,632,326,088.24",9.15,26.88,15.56,58.17
Turkey,TUR,2014,"934,185,915,375.83",6.59,28.2,16.79,53.66
Turkmenistan,TKM,2014,"43,524,210,526.32",8.3,60.67,,
Turks and Caicos Islands,TCA,2014,"823,968,140.00",0.5,9.47,0.73,78.84
Tuvalu,TUV,2014,"37,290,607.54",18.96,7.68,,
Uganda,UGA,2014,"32,348,119,639.07",24.61,25.27,15.58,43.57
Ukraine,UKR,2014,"133,503,411,375.74",10.15,22.82,12.23,54.16
United Arab Emirates,ARE,2014,"403,137,100,068.07",0.64,52.76,7.76,46.6
United Kingdom,GBR,2014,"3,063,803,240,208.00",0.67,18.36,9.38,70.14
United States,USA,2014,"17,521,746,534,000.00",1.19,19.3,11.64,75.84
Uruguay,URY,2014,"57,236,013,086.12",6.74,24.7,12.14,59.1
Uzbekistan,UZB,2014,"76,658,542,757.47",30.26,23.28,13.38,36.08
Vanuatu,VUT,2014,"814,954,306.97",25.2,8.13,3.31,
"Venezuela, RB",VEN,2014,"482,359,318,767.70",5.03,37.24,12.07,51.67
Vietnam,VNM,2014,"186,204,652,922.26",17.7,33.21,13.18,39.04
Virgin Islands (U.S.),VIR,2014,"3,622,000,000.00",,,,
West Bank and Gaza,PSE,2014,"12,715,600,000.00",3.88,19.97,12,64.14
"Yemen, Rep.",YEM,2014,"43,206,469,767.44",7.82,44.04,8.56,27.27
Zambia,ZMB,2014,"27,150,646,908.72",6.78,32.94,6.82,53.51
Zimbabwe,ZWE,2014,"19,495,519,600.00",8.75,23.72,12.59,57.59
